,cumsumduration,cumsumwinner,cumsum_hitsTotal,cumsum_hitsSuccessful,cumsum_takedownTotal,cumsum_takedownSuccessful,cumsum_submissionAttempts,cumsum_takeovers,cumsum_accentedHitsTotal,cumsum_accentedHitsSuccessful,cumsum_knockdowns,cumsum_protectionPassage,cumsum_hitsHeadTotal,cumsum_hitsHeadSuccessful,cumsum_hitsBodyTotal,cumsum_hitsBodySuccessful,cumsum_hitsLegsTotal,cumsum_hitsLegsSuccessful,cumsum_accentedHitsPositionDistanceTotal,cumsum_accentedHitsPositionDistanceSuccessful,cumsum_accentedHitsPositionClinchTotal,cumsum_accentedHitsPositionClinchSuccessful,cumsum_accentedHitsPositionParterTotal,cumsum_accentedHitsPositionParterSuccessful,cumsumwinMethods_[DEC],cumsumwinMethods_[DQ],cumsumwinMethods_[KO],cumsumwinMethods_[SUB],eventDate.date,fighterId,duration,winner,fighter_nbr,count_of_fights,fighterName
2565,560.0,2,46.0,34.0,6.0,1.0,0.0,0.0,36.0,26.0,0.0,1.0,26.0,17.0,6.0,6.0,4.0,3.0,14.0,10.0,10.0,8.0,12.0,8.0,1,0,1,0,2011-07-02 00:00:00,583,300.0,False,1,2,Brad Tavares
2882,860.0,2,71.0,50.0,8.0,1.0,0.0,0.0,47.0,29.0,0.0,1.0,36.0,19.0,6.0,6.0,5.0,4.0,23.0,13.0,12.0,8.0,12.0,8.0,2,0,1,0,2012-05-15 00:00:00,583,300.0,True,1,3,Brad Tavares
3021,1160.0,3,118.0,61.0,11.0,3.0,0.0,0.0,94.0,40.0,0.0,1.0,65.0,20.0,16.0,10.0,13.0,10.0,70.0,24.0,12.0,8.0,12.0,8.0,3,0,1,0,2012-09-29 00:00:00,583,300.0,True,1,4,Brad Tavares
3177,1460.0,4,157.0,87.0,17.0,5.0,0.0,0.0,129.0,62.0,0.0,1.0,95.0,37.0,20.0,14.0,14.0,11.0,101.0,43.0,16.0,11.0,12.0,8.0,4,0,1,0,2013-03-02 00:00:00,583,300.0,True,1,5,Brad Tavares
3339,1760.0,5,270.0,138.0,17.0,5.0,0.0,0.0,235.0,106.0,0.0,1.0,191.0,74.0,24.0,18.0,20.0,14.0,203.0,85.0,20.0,13.0,12.0,8.0,5,0,1,0,2013-08-28 00:00:00,583,300.0,True,1,6,Brad Tavares
3503,2060.0,6,290.0,147.0,17.0,5.0,0.0,0.0,250.0,110.0,0.0,1.0,201.0,74.0,26.0,19.0,23.0,17.0,216.0,87.0,22.0,15.0,12.0,8.0,6,0,1,0,2014-01-16 00:00:00,583,300.0,True,1,7,Brad Tavares
3620,2360.0,7,329.0,161.0,23.0,5.0,0.0,0.0,289.0,124.0,0.0,1.0,228.0,83.0,31.0,19.0,30.0,22.0,249.0,100.0,28.0,16.0,12.0,8.0,7,0,1,0,2014-04-19 00:00:00,583,300.0,False,2,8,Brad Tavares
3785,2660.0,7,367.0,174.0,24.0,5.0,0.0,0.0,323.0,133.0,0.0,1.0,255.0,86.0,33.0,20.0,35.0,27.0,281.0,107.0,30.0,18.0,12.0,8.0,8,0,1,0,2014-08-16 00:00:00,583,198.0,False,2,9,Brad Tavares
3987,2858.0,7,394.0,187.0,24.0,5.0,0.0,0.0,345.0,141.0,0.0,1.0,275.0,92.0,35.0,22.0,35.0,27.0,299.0,113.0,34.0,20.0,12.0,8.0,8,0,2,0,2015-01-03 00:00:00,583,300.0,True,1,10,Brad Tavares
4129,3158.0,8,449.0,212.0,24.0,5.0,0.0,0.0,399.0,165.0,0.0,1.0,316.0,108.0,41.0,25.0,42.0,32.0,345.0,133.0,42.0,24.0,12.0,8.0,9,0,2,0,2015-05-09 00:00:00,583,44.0,False,1,11,Brad Tavares
4764,3202.0,8,456.0,214.0,24.0,5.0,0.0,0.0,406.0,167.0,0.0,1.0,321.0,108.0,41.0,25.0,44.0,34.0,352.0,135.0,42.0,24.0,12.0,8.0,9,0,3,0,2016-09-10 00:00:00,583,300.0,True,1,12,Brad Tavares
5135,3502.0,9,506.0,243.0,24.0,5.0,0.0,0.0,454.0,194.0,0.0,1.0,353.0,123.0,47.0,28.0,54.0,43.0,391.0,154.0,50.0,31.0,13.0,9.0,10,0,3,0,2017-07-07 00:00:00,583,300.0,True,2,13,Brad Tavares
5251,3802.0,10,515.0,246.0,24.0,5.0,0.0,1.0,461.0,195.0,0.0,2.0,360.0,124.0,47.0,28.0,54.0,43.0,396.0,155.0,52.0,31.0,13.0,9.0,11,0,3,0,2017-10-07 00:00:00,583,300.0,True,1,14,Brad Tavares
5497,4102.0,11,567.0,282.0,24.0,5.0,0.0,1.0,505.0,223.0,0.0,2.0,395.0,143.0,47.0,28.0,63.0,52.0,433.0,178.0,52.0,31.0,20.0,14.0,12,0,3,0,2018-04-15 03:00:00,583,136.0,True,2,15,Brad Tavares
5591,4238.0,12,599.0,302.0,24.0,5.0,0.0,1.0,537.0,243.0,0.0,2.0,419.0,156.0,49.0,29.0,69.0,58.0,451.0,189.0,56.0,34.0,30.0,20.0,12,0,4,0,2018-07-06 00:00:00,583,300.0,False,2,16,Brad Tavares
6288,4538.0,12,625.0,308.0,30.0,5.0,0.0,1.0,563.0,249.0,0.0,2.0,443.0,160.0,51.0,31.0,69.0,58.0,476.0,195.0,57.0,34.0,30.0,20.0,13,0,4,0,2019-11-02 00:00:00,583,147.0,False,2,17,Brad Tavares
6827,4685.0,12,648.0,311.0,30.0,5.0,0.0,1.0,586.0,252.0,0.0,2.0,462.0,161.0,52.0,32.0,72.0,59.0,498.0,198.0,58.0,34.0,30.0,20.0,13,0,5,0,2021-01-23 00:00:00,583,300.0,True,2,18,Brad Tavares
