,cumsum_duration,cumsum_winner,cumsum_hitsTotal,cumsum_hitsSuccessful,cumsum_takedownTotal,cumsum_takedownSuccessful,cumsum_submissionAttempts,cumsum_takeovers,cumsum_accentedHitsTotal,cumsum_accentedHitsSuccessful,cumsum_knockdowns,cumsum_protectionPassage,cumsum_hitsHeadTotal,cumsum_hitsHeadSuccessful,cumsum_hitsBodyTotal,cumsum_hitsBodySuccessful,cumsum_hitsLegsTotal,cumsum_hitsLegsSuccessful,cumsum_accentedHitsPositionDistanceTotal,cumsum_accentedHitsPositionDistanceSuccessful,cumsum_accentedHitsPositionClinchTotal,cumsum_accentedHitsPositionClinchSuccessful,cumsum_accentedHitsPositionParterTotal,cumsum_accentedHitsPositionParterSuccessful,cumsum_winMethods_[DEC],cumsum_winMethods_[DQ],cumsum_winMethods_[KO],cumsum_winMethods_[SUB],current_duration,winner,current_hitsTotal,current_hitsSuccessful,current_takedownTotal,current_takedownSuccessful,current_submissionAttempts,current_takeovers,current_accentedHitsTotal,current_accentedHitsSuccessful,current_knockdowns,current_protectionPassage,current_hitsHeadTotal,current_hitsHeadSuccessful,current_hitsBodyTotal,current_hitsBodySuccessful,current_hitsLegsTotal,current_hitsLegsSuccessful,current_accentedHitsPositionDistanceTotal,current_accentedHitsPositionDistanceSuccessful,current_accentedHitsPositionClinchTotal,current_accentedHitsPositionClinchSuccessful,current_accentedHitsPositionParterTotal,current_accentedHitsPositionParterSuccessful,current_winMethods_[DEC],current_winMethods_[DQ],current_winMethods_[KO],current_winMethods_[SUB],age,eventDate.date,fighterId,fighter_nbr,odds,winnerId,count_of_fights,win_streak,loose_streak,fighterName
4041,963.0,3,113.0,53.0,15.0,7.0,1.0,0.0,89.0,29.0,0.0,1.0,74.0,23.0,12.0,4.0,3.0,2.0,71.0,14.0,3.0,3.0,15.0,12.0,2,0,2,1,300.0,False,20.0,5.0,2.0,0.0,0.0,0.0,19.0,4.0,0.0,0.0,14.0,1.0,4.0,2.0,1.0,1.0,19.0,4.0,0.0,0.0,0.0,0.0,1,0,0,0,29.0,2015-02-22 00:00:00,413,1,1.2,718.0,4,0,2,Rustam Khabilov
4519,1263.0,4,153.0,84.0,18.0,10.0,1.0,0.0,111.0,43.0,0.0,3.0,96.0,37.0,12.0,4.0,3.0,2.0,79.0,18.0,3.0,3.0,29.0,22.0,3,0,2,1,300.0,True,40.0,31.0,3.0,3.0,0.0,0.0,22.0,14.0,0.0,2.0,22.0,14.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,14.0,10.0,1,0,0,0,30.0,2016-02-27 00:00:00,413,1,1.44,413.0,5,1,0,Rustam Khabilov
4592,1563.0,5,214.0,131.0,21.0,13.0,1.0,0.0,143.0,69.0,0.0,5.0,125.0,60.0,13.0,5.0,5.0,4.0,88.0,23.0,4.0,4.0,51.0,42.0,4,0,2,1,300.0,True,61.0,47.0,3.0,3.0,0.0,0.0,32.0,26.0,0.0,2.0,29.0,23.0,1.0,1.0,2.0,2.0,9.0,5.0,1.0,1.0,22.0,20.0,1,0,0,0,30.0,2016-05-08 00:00:00,413,1,1.57,413.0,6,2,0,Rustam Khabilov
4757,1863.0,6,250.0,148.0,26.0,14.0,1.0,0.0,168.0,75.0,0.0,5.0,144.0,63.0,16.0,6.0,8.0,6.0,110.0,28.0,6.0,4.0,52.0,43.0,5,0,2,1,300.0,True,36.0,17.0,5.0,1.0,0.0,0.0,25.0,6.0,0.0,0.0,19.0,3.0,3.0,1.0,3.0,2.0,22.0,5.0,2.0,0.0,1.0,1.0,1,0,0,0,30.0,2016-09-03 00:00:00,413,1,1.25,413.0,7,3,0,Rustam Khabilov
4908,2163.0,7,313.0,188.0,29.0,16.0,1.0,0.0,204.0,89.0,0.0,5.0,177.0,76.0,18.0,7.0,9.0,6.0,127.0,31.0,7.0,4.0,70.0,54.0,6,0,2,1,300.0,True,63.0,40.0,3.0,2.0,0.0,0.0,36.0,14.0,0.0,0.0,33.0,13.0,2.0,1.0,1.0,0.0,17.0,3.0,1.0,0.0,18.0,11.0,1,0,0,0,30.0,2016-12-10 00:00:00,413,1,1.45,413.0,8,4,0,Rustam Khabilov
5206,2463.0,8,360.0,201.0,32.0,16.0,1.0,0.0,251.0,102.0,0.0,5.0,217.0,84.0,21.0,9.0,13.0,9.0,170.0,44.0,11.0,4.0,70.0,54.0,7,0,2,1,300.0,True,47.0,13.0,3.0,0.0,0.0,0.0,47.0,13.0,0.0,0.0,40.0,8.0,3.0,2.0,4.0,3.0,43.0,13.0,4.0,0.0,0.0,0.0,1,0,0,0,31.0,2017-09-02 00:00:00,413,2,1.41,413.0,9,5,0,Rustam Khabilov
5697,2763.0,9,384.0,209.0,35.0,18.0,1.0,0.0,268.0,104.0,0.0,5.0,234.0,86.0,21.0,9.0,13.0,9.0,183.0,45.0,13.0,4.0,72.0,55.0,8,0,2,1,300.0,True,24.0,8.0,3.0,2.0,0.0,0.0,17.0,2.0,0.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0,13.0,1.0,2.0,0.0,2.0,1.0,1,0,0,0,32.0,2018-09-15 00:00:00,413,2,1.14,413.0,10,6,0,Rustam Khabilov
5909,3063.0,9,437.0,222.0,41.0,18.0,1.0,0.0,320.0,117.0,0.0,5.0,281.0,96.0,26.0,12.0,13.0,9.0,229.0,56.0,19.0,6.0,72.0,55.0,9,0,2,1,300.0,False,53.0,13.0,6.0,0.0,0.0,0.0,52.0,13.0,0.0,0.0,47.0,10.0,5.0,3.0,0.0,0.0,46.0,11.0,6.0,2.0,0.0,0.0,1,0,0,0,33.0,2019-02-23 00:00:00,413,2,1.76,404.0,11,0,1,Rustam Khabilov
6299,3363.0,10,466.0,247.0,46.0,20.0,1.0,0.0,329.0,122.0,0.0,5.0,286.0,98.0,30.0,15.0,13.0,9.0,235.0,58.0,19.0,6.0,75.0,58.0,10,0,2,1,300.0,True,29.0,25.0,5.0,2.0,0.0,0.0,9.0,5.0,0.0,0.0,5.0,2.0,4.0,3.0,0.0,0.0,6.0,2.0,0.0,0.0,3.0,3.0,1,0,0,0,33.0,2019-11-09 00:00:00,413,1,1.48,413.0,12,1,0,Rustam Khabilov
4558,224.0,0,43.0,11.0,0.0,0.0,0.0,0.0,43.0,11.0,0.0,0.0,40.0,9.0,2.0,1.0,1.0,1.0,42.0,11.0,1.0,0.0,0.0,0.0,0,0,1,0,224.0,False,43.0,11.0,0.0,0.0,0.0,0.0,43.0,11.0,0.0,0.0,40.0,9.0,2.0,1.0,1.0,1.0,42.0,11.0,1.0,0.0,0.0,0.0,0,0,1,0,30.0,2016-04-10 00:00:00,414,2,4.15,380.0,0,0,1,Damir Hadzovic
